date_week,dsp_spend_us_amazonadsspend,dsp_spend_others_amazonadsspend,dsp_spend_us_amazondspspend,dsp_spend_others_amazondspspend,dsp_spend_us_totalrevenue,dsp_spend_others_totalrevenue,dsp_spend_us_totalspend,dsp_spend_others_totalspend,klaviyo_received_emails_emails_sent,mntn_tv_impressions,mntn_tv_households_reached,mntn_tv_completed_views,mntn_tv_total_spend,mntn_tv_total_conversions,mntn_tv_order_value,mntn_tv_total_verified_visits,prime_variable_account_id,prime_variable_campaign_id,prime_variable_total_cost_usd,prime_variable_total_cost_eur,prime_variable_impressions,prime_variable_branded_searches,prime_variable_purchases,prime_variable_total_sales_eur,prime_variable_video_start,prime_variable_video_midpoint,prime_variable_video_complete,pr_coverage_others_uvm,pr_coverage_others_uvpd_uvm_30_,pr_coverage_online_ave_us_,pr_coverage_online_news_ave_us_,pr_coverage_others_ave_us_,sales_periods,tik_tok_ads_us_spend,snapchat_ads_us_impressions,snapchat_ads_us_spend,google_ads_search_brand_impressions,google_ads_search_no_brand_impressions,google_ads_video_impressions,google_ads_discovery_impressions,google_ads_shopping_impressions,google_ads_display_impressions,google_ads_performance_max_impressions,google_ads_others_impressions,google_ads_search_brand_clicks,google_ads_search_no_brand_clicks,google_ads_video_clicks,google_ads_discovery_clicks,google_ads_shopping_clicks,google_ads_display_clicks,google_ads_performance_max_clicks,google_ads_others_clicks,google_ads_search_brand_costs,google_ads_search_no_brand_costs,google_ads_video_costs,google_ads_discovery_costs,google_ads_shopping_costs,google_ads_display_costs,google_ads_performance_max_costs,google_ads_others_costs,influencer_spend,amazon_ads_impressions,amazon_ads_spend,fb_tof_spend,fb_bof_spend,fb_mof_spend,fb_ret_spend,emails_others_total_emails_sent,emails_us_total_emails_sent,bing_spend,influencers_us_total_reach,pr_uvpd,pr_uvm,shopify_orders,shopify_revenue,discounts,amazon_revenue,total_revenue
2020-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,156.0,0.0,0.0,0.0,0.0,177.0,4202.0,5.72,0.0,4202.0
2021-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,136.0,0.0,0.0,0.0,0.0,231.0,6312.0,2.97,9675.0,15987.0
2021-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,53.0,0.0,0.0,0.0,0.0,235.0,5758.0,5.65,1969.0,7727.0
2021-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970.0,138.52,0.0,0.0,0.0,0.0,15285.0,8143.0,0.0,0.0,0.0,0.0,369.0,8667.0,11.23,3075.0,11742.0
2021-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3265.0,1716.0,0.0,0.0,0.0,0.0,617.0,16055.0,3.56,5221.0,21276.0
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15726.0,11254.0,0.0,0.0,0.0,0.0,506.0,13372.0,4.09,5605.0,18977.0
2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15924.0,11271.0,0.0,0.0,0.0,0.0,525.0,14091.0,2.99,10475.0,24566.0
2021-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2184.0,13967.0,0.0,0.0,0.0,0.0,0.0,0.0,769.0,773.0,0.0,0.0,0.0,0.0,0.0,0.0,140.76,657.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549378.0,4865.52,0.0,0.0,0.0,0.0,462.0,490.0,0.0,0.0,0.0,0.0,976.0,26308.0,2.11,17572.0,43880.0
2021-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3016.0,8690.0,0.0,0.0,4736.0,0.0,0.0,0.0,1048.0,633.0,0.0,0.0,120.0,0.0,0.0,0.0,255.93,449.68,0.0,0.0,117.55,0.0,0.0,0.0,0.0,1491660.0,11572.04,0.0,0.0,0.0,0.0,17670.0,13808.0,0.0,0.0,0.0,0.0,1049.0,28288.0,1.5,46771.0,75059.0
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3036.0,4808.0,0.0,0.0,0.0,0.0,0.0,628.0,1208.0,446.0,0.0,0.0,0.0,0.0,0.0,90.0,256.22,368.38,0.0,0.0,0.0,0.0,0.0,75.58,0.0,1461988.0,7895.67,0.0,0.0,0.0,0.0,36102.0,28190.0,0.0,0.0,0.0,0.0,1105.0,30128.0,2.2,42138.0,72266.0
